target,Comments,Tokenize_review
Negative,this skin didn age well localpolarbear,"['skin', 'age', 'well', 'localpolarbear']"
Irrelevant,keemstar know the social media st going after the video game longer thequartering who fucking cares just wanted point out where keep life painfully lame games xboxseriesx,"['keemstar', 'know', 'social', 'media', 'st', 'going', 'video', 'game', 'longer', 'thequartering', 'fucking', 'cares', 'wanted', 'point', 'keep', 'life', 'painfully', 'lame', 'games', 'xboxseriesx']"
Positive,love oris,"['love', 'oris']"
Positive,not donna lie the if and comb sounding really nice right now,"['donna', 'lie', 'comb', 'sounding', 'really', 'nice', 'right']"
Positive,playoverwatch there like any way bring back pink mercy and atlantic mercy honestly pay good money for those skins only started off since september but they are beautiful,"['playoverwatch', 'like', 'way', 'bring', 'back', 'pink', 'mercy', 'atlantic', 'mercy', 'honestly', 'pay', 'good', 'money', 'skins', 'started', 'since', 'september', 'beautiful']"
Positive,finally finished red dead redemption after nearly year and half play how does something immersion with much detail such grand scale even manage get produced its nothing short both engineering and artistic miracle,"['finally', 'finished', 'red', 'dead', 'redemption', 'nearly', 'year', 'half', 'play', 'something', 'immersion', 'much', 'detail', 'grand', 'scale', 'even', 'manage', 'get', 'produced', 'nothing', 'short', 'engineering', 'artistic', 'miracle']"
Neutral,excited for blackopscoldwar your gameplay with high speed and response that doesn compromise image quality and sound knowledge cod gamingmonitor,"['excited', 'blackopscoldwar', 'gameplay', 'high', 'speed', 'response', 'compromise', 'image', 'quality', 'sound', 'knowledge', 'cod', 'gamingmonitor']"
Negative,fuck everyone who has got the haven even got good enough put one nvidiageforce india,"['fuck', 'everyone', 'got', 'even', 'got', 'good', 'enough', 'put', 'one', 'nvidiageforce', 'india']"
Negative,dick microsoft,"['dick', 'microsoft']"
Positive,mobile you guns are really slow tube city makes people horizon,"['mobile', 'guns', 'really', 'slow', 'tube', 'city', 'makes', 'people', 'horizon']"
Negative,failed pub mobile via couture,"['failed', 'pub', 'mobile', 'via', 'couture']"
Negative,rainbow game got removed from the game because lost connection and now can join the match anymore which will result getting half hour ban pick,"['rainbow', 'game', 'got', 'removed', 'game', 'lost', 'connection', 'join', 'match', 'anymore', 'result', 'getting', 'half', 'hour', 'ban', 'pick']"
Neutral,dbongino and real quickly have run home depot and touch everything with rubber gloves course but days ago they predicted the million deaths count days after that they said thousand and rate death less than,"['dbongino', 'real', 'quickly', 'run', 'home', 'depot', 'touch', 'everything', 'rubber', 'gloves', 'course', 'days', 'ago', 'predicted', 'million', 'deaths', 'count', 'days', 'said', 'thousand', 'rate', 'death', 'less']"
Irrelevant,another reason superior,"['another', 'reason', 'superior']"
Neutral,ever can crush with her thighs,"['ever', 'crush', 'thighs']"
Positive,can wait play the beta this weekend wait have box never mind,"['wait', 'play', 'beta', 'weekend', 'wait', 'box', 'never', 'mind']"
Neutral,making happy immortal til treasure day data,"['making', 'happy', 'immortal', 'til', 'treasure', 'day', 'data']"
Negative,fucking thank you,"['fucking', 'thank']"
Neutral,plain jane smart jane she the good sister that never causes any trouble meet her jane secrets now romance family thrilled suspense jeanelia available amazon,"['plain', 'jane', 'smart', 'jane', 'good', 'sister', 'never', 'causes', 'trouble', 'meet', 'jane', 'secrets', 'romance', 'family', 'thrilled', 'suspense', 'jeanelia', 'available', 'amazon']"
Positive,least have borderlands cheer,"['least', 'borderlands', 'cheer']"
Negative,playapex same figure this rainbow game the most simple concept but amazing game and still thriving after years success you know they only listen the come scene figure out shit bags,"['playapex', 'figure', 'rainbow', 'game', 'simple', 'concept', 'amazing', 'game', 'still', 'thriving', 'years', 'success', 'know', 'listen', 'come', 'scene', 'figure', 'shit', 'bags']"
Neutral,don jump so so,['jump']
Positive,yeah happy if day everyone,"['yeah', 'happy', 'day', 'everyone']"
Negative,sad got point say anyone say ta look crazy get life stop saying everything that happens real life comparing video game that not even out your sad piece shit people there lady that got hit that car just lost her life show respect could,"['sad', 'got', 'point', 'say', 'anyone', 'say', 'ta', 'look', 'crazy', 'get', 'life', 'stop', 'saying', 'everything', 'happens', 'real', 'life', 'comparing', 'video', 'game', 'even', 'sad', 'piece', 'shit', 'people', 'lady', 'got', 'hit', 'car', 'lost', 'life', 'show', 'respect', 'could']"
Neutral,guns love and tentacles out now and here are reasons excited keepplaying borderlands newest,"['guns', 'love', 'tentacles', 'reasons', 'excited', 'keepplaying', 'borderlands', 'newest']"
Neutral,goose fixed review phone with great camera,"['goose', 'fixed', 'review', 'phone', 'great', 'camera']"
Positive,the real path valhalla main story without side quests fucking relieving assassinscreedvalhalla ubisoft,"['real', 'path', 'valhalla', 'main', 'story', 'without', 'side', 'quests', 'fucking', 'relieving', 'assassinscreedvalhalla', 'ubisoft']"
Irrelevant,guns stop tired give you more like these,"['guns', 'stop', 'tired', 'give', 'like']"
Negative,absolutely ridiculous that prop hunt not fortunate anymore the utter disappointment jakestatefarm fortnitegame kimkardashian,"['absolutely', 'ridiculous', 'prop', 'hunt', 'fortunate', 'anymore', 'utter', 'disappointment', 'jakestatefarm', 'fortnitegame', 'kimkardashian']"
Neutral,update chase remained from anonymous email telling close friend showed him facebook post that didn know was doing this and asked take these down another outreach from random email not also creep not taking down,"['update', 'chase', 'remained', 'anonymous', 'email', 'telling', 'close', 'friend', 'showed', 'facebook', 'post', 'know', 'asked', 'take', 'another', 'outreach', 'random', 'email', 'also', 'creep', 'taking']"
Irrelevant,congratulations our very own julienmid and value for being selected team passu for the coming league legends twitch rivals will value secure the three seat will julie pick his first championship find out next week mucin twitchesports pick,"['congratulations', 'julienmid', 'value', 'selected', 'team', 'passu', 'coming', 'league', 'legends', 'twitch', 'rivals', 'value', 'secure', 'three', 'seat', 'julie', 'pick', 'first', 'championship', 'find', 'next', 'week', 'mucin', 'twitchesports', 'pick']"
Negative,red dead redemption day can shoot much don like much,"['red', 'dead', 'redemption', 'day', 'shoot', 'much', 'like', 'much']"
Irrelevant,the new event pub weird,"['new', 'event', 'pub', 'weird']"
Positive,happy with this change games have beginning middle and end all about flow you should have keep momentum streak second time not depend streaks get you more streaks,"['happy', 'change', 'games', 'beginning', 'middle', 'end', 'flow', 'keep', 'momentum', 'streak', 'second', 'time', 'depend', 'streaks', 'get', 'streaks']"
Positive,yaaaas want see means animated aime,"['yaaaas', 'want', 'see', 'means', 'animated', 'aime']"
Neutral,instead using suitcase for moving un and having find place put them buying boxes from home depot and then recalling them think genius,"['instead', 'using', 'suitcase', 'moving', 'un', 'find', 'place', 'put', 'buying', 'boxes', 'home', 'depot', 'recalling', 'think', 'genius']"
Positive,much don like the amazon business model nobody going tell wear ineffective cloth mask homedepot cvspharmacy palmar samsclub target just lost all business amazon this lunch out control realdonaldtrump censoredcinder breitbartnews,"['much', 'like', 'amazon', 'business', 'model', 'nobody', 'going', 'tell', 'wear', 'ineffective', 'cloth', 'mask', 'homedepot', 'cvspharmacy', 'palmar', 'samsclub', 'target', 'lost', 'business', 'amazon', 'lunch', 'control', 'realdonaldtrump', 'censoredcinder', 'breitbartnews']"
Neutral,shoutout brother coconutbrah for probably spending over hours custom games with now rainbowsixsiege,"['shoutout', 'brother', 'coconutbrah', 'probably', 'spending', 'hours', 'custom', 'games', 'rainbowsixsiege']"
Positive,kind incredible what games getting this year for the box series getting assassin creed valhalla watch dogs legion dirt user the falconeer thanks gamepass years tactics destiny beyond light before was cyberpunk the medium,"['kind', 'incredible', 'games', 'getting', 'year', 'box', 'series', 'getting', 'assassin', 'creed', 'valhalla', 'watch', 'dogs', 'legion', 'dirt', 'user', 'falconeer', 'thanks', 'gamepass', 'years', 'tactics', 'destiny', 'beyond', 'light', 'cyberpunk', 'medium']"
Negative,used work home depot and all can say that their security can touch make give them the merchandise and most the younger employees don care sick enough,"['used', 'work', 'home', 'depot', 'say', 'security', 'touch', 'make', 'give', 'merchandise', 'younger', 'employees', 'care', 'sick', 'enough']"
Neutral,runs around aimlessly red dead redemption online completely forgetting she supposed getting animals for the trader role,"['runs', 'around', 'aimlessly', 'red', 'dead', 'redemption', 'online', 'completely', 'forgetting', 'supposed', 'getting', 'animals', 'trader', 'role']"
Neutral,now notorious blockade runner mysterious heiress inconvenient secret the trouble with misbehaving amazon tune amazondeals romancebooks kindlebargain,"['notorious', 'blockade', 'runner', 'mysterious', 'heiress', 'inconvenient', 'secret', 'trouble', 'misbehaving', 'amazon', 'tune', 'amazondeals', 'romancebooks', 'kindlebargain']"
Neutral,just lost game league legends just restarted without even asking banker windows,"['lost', 'game', 'league', 'legends', 'restarted', 'without', 'even', 'asking', 'banker', 'windows']"
Positive,playapex respawn hey respawn just now played the first quest for this season boy you did great job the story and the ve mode can wait for the next one awesome work,"['playapex', 'respawn', 'hey', 'respawn', 'played', 'first', 'quest', 'season', 'boy', 'great', 'job', 'story', 'mode', 'wait', 'next', 'one', 'awesome', 'work']"
Neutral,need third for ranged right now box apexlegends ranged boone,"['need', 'third', 'ranged', 'right', 'box', 'apexlegends', 'ranged', 'boone']"
Neutral,now off points midday mercy elson charon home depot pace retreat,"['points', 'midday', 'mercy', 'elson', 'charon', 'home', 'depot', 'pace', 'retreat']"
Irrelevant,stop acting like your not educated stop with the you know des don have ultimate least don lead people with pick,"['stop', 'acting', 'like', 'educated', 'stop', 'know', 'des', 'ultimate', 'least', 'lead', 'people', 'pick']"
Negative,hey horizon there known outrage,"['hey', 'horizon', 'known', 'outrage']"
Positive,box majornelson love bring home new box series but they are all sold out the email are very misleading just saying,"['box', 'majornelson', 'love', 'bring', 'home', 'new', 'box', 'series', 'sold', 'email', 'misleading', 'saying']"
Neutral,good luck paying dollars for broke buggy and incomplete game that will definitely have microtransactions despite the price xboxseriesx plantation,"['good', 'luck', 'paying', 'dollars', 'broke', 'buggy', 'incomplete', 'game', 'definitely', 'microtransactions', 'despite', 'price', 'xboxseriesx', 'plantation']"
Negative,na this your game own this cap,"['na', 'game', 'cap']"
Negative,goose and apple can you explain promoting slave market wait through your apes disgusted,"['goose', 'apple', 'explain', 'promoting', 'slave', 'market', 'wait', 'apes', 'disgusted']"
Neutral,check out video leagueoflegends captured outlawed alienwaregames pick,"['check', 'video', 'leagueoflegends', 'captured', 'outlawed', 'alienwaregames', 'pick']"
Neutral,gutta buy own and box this year never ask take you out eat eat your hussy cause ma tell you your damn self,"['gutta', 'buy', 'box', 'year', 'never', 'ask', 'take', 'eat', 'eat', 'hussy', 'cause', 'tell', 'damn', 'self']"
Positive,getting strong netflix vices and like,"['getting', 'strong', 'netflix', 'vices', 'like']"
Negative,shit time for recast,"['shit', 'time', 'recast']"
Negative,had underground get double kill ghostreconbreakpoint pick,"['underground', 'get', 'double', 'kill', 'ghostreconbreakpoint', 'pick']"
Negative,global cubs world market sentiment looks weak indies closed lower teach shares dragged the markets and seen heavy selling nasal closes lower lower apple amazon india sides fifty,"['global', 'cubs', 'world', 'market', 'sentiment', 'looks', 'weak', 'indies', 'closed', 'lower', 'teach', 'shares', 'dragged', 'markets', 'seen', 'heavy', 'selling', 'nasal', 'closes', 'lower', 'lower', 'apple', 'amazon', 'india', 'sides', 'fifty']"
Irrelevant,will live stream back bit acting weird sorry playstore share battlefield games videogames twitched twitchgamer twitchgaming,"['live', 'stream', 'back', 'bit', 'acting', 'weird', 'sorry', 'playstore', 'share', 'battlefield', 'games', 'videogames', 'twitched', 'twitchgamer', 'twitchgaming']"
Negative,googlechrome every time open goose keep clashes come super annoying trying add list,"['googlechrome', 'every', 'time', 'open', 'goose', 'keep', 'clashes', 'come', 'super', 'annoying', 'trying', 'add', 'list']"
Positive,remember was one the finest stealth games had the opportunity play and think mastering the box would boss move,"['remember', 'one', 'finest', 'stealth', 'games', 'opportunity', 'play', 'think', 'mastering', 'box', 'would', 'boss', 'move']"
Neutral,check out video leagueoflegends captured outlawed alienwaregames pick,"['check', 'video', 'leagueoflegends', 'captured', 'outlawed', 'alienwaregames', 'pick']"
Neutral,man if was game despite how shit was shame can play if can anna rip brains out again,"['man', 'game', 'despite', 'shit', 'shame', 'play', 'anna', 'rip', 'brains']"
Positive,had fun red dead redemption tonight thanks all who tuned clips,"['fun', 'red', 'dead', 'redemption', 'tonight', 'thanks', 'tuned', 'clips']"
Irrelevant,this must and rolling people again so big toll battlefield onlyinbattlefield,"['must', 'rolling', 'people', 'big', 'toll', 'battlefield', 'onlyinbattlefield']"
Neutral,wheeling,['wheeling']
Negative,april until now for apparent reason just can connect shift all what going here submitted ticket days ago gearbox but still respond please help borderlands shiftstatus gearboxofficial,"['april', 'apparent', 'reason', 'connect', 'shift', 'going', 'submitted', 'ticket', 'days', 'ago', 'gearbox', 'still', 'respond', 'please', 'help', 'borderlands', 'shiftstatus', 'gearboxofficial']"
Positive,now,[]
Positive,the next one borderlands the handsome collection you welcome,"['next', 'one', 'borderlands', 'handsome', 'collection', 'welcome']"
Negative,maiden should make cross play thing the next maiden also gift sending streamers would love this and would help promote the game more with more youtubers being able send gifts cross platform kraelo exports but eamaddennfl,"['maiden', 'make', 'cross', 'play', 'thing', 'next', 'maiden', 'also', 'gift', 'sending', 'streamers', 'would', 'love', 'would', 'help', 'promote', 'game', 'youtubers', 'able', 'send', 'gifts', 'cross', 'platform', 'kraelo', 'exports', 'eamaddennfl']"
Irrelevant,this twitter account keep getting suspended pelvis ruined life should able have voice you dont know just goose snaggletooth salon gave her bush fro may release the video please follow and full shit begging again,"['twitter', 'account', 'keep', 'getting', 'suspended', 'pelvis', 'ruined', 'life', 'able', 'voice', 'dont', 'know', 'goose', 'snaggletooth', 'salon', 'gave', 'bush', 'fro', 'may', 'release', 'video', 'please', 'follow', 'full', 'shit', 'begging']"
Positive,funny did laugh thank you blue fortunate man,"['funny', 'laugh', 'thank', 'blue', 'fortunate', 'man']"
Positive,still favourite assassin creed games pick,"['still', 'favourite', 'assassin', 'creed', 'games', 'pick']"
Neutral,amazonpayquizi played this interesting quit amazon your luck for chance win exciting rewards share,"['amazonpayquizi', 'played', 'interesting', 'quit', 'amazon', 'luck', 'chance', 'win', 'exciting', 'rewards', 'share']"
Negative,let all agree completely trash the inevitable facebook apple and goose commercial that come out and show people high giving and hugging again once this over priding themselves keeping connected,"['let', 'agree', 'completely', 'trash', 'inevitable', 'facebook', 'apple', 'goose', 'commercial', 'come', 'show', 'people', 'high', 'giving', 'hugging', 'priding', 'keeping', 'connected']"
Neutral,our chinese overwatch fan will sad learn that the matches china during february and march and being rescheduled pick,"['chinese', 'overwatch', 'fan', 'sad', 'learn', 'matches', 'china', 'february', 'march', 'rescheduled', 'pick']"
Positive,holy smokes really enjoying liberal plain only deck hearthstone couture twitch plain blizzard,"['holy', 'smokes', 'really', 'enjoying', 'liberal', 'plain', 'deck', 'hearthstone', 'couture', 'twitch', 'plain', 'blizzard']"
Positive,wedge regard loses if trophy train and appeals for its return,"['wedge', 'regard', 'loses', 'trophy', 'train', 'appeals', 'return']"
Negative,don understand they port this instead gave switch look much better,"['understand', 'port', 'instead', 'gave', 'switch', 'look', 'much', 'better']"
Negative,na bonne how coming how fix this pick,"['na', 'bonne', 'coming', 'fix', 'pick']"
Negative,maiden playstati one box one maiden gamespot with far more technical issues than normal and large chinks recycle content maiden feels more like update than brand new game,"['maiden', 'playstati', 'one', 'box', 'one', 'maiden', 'gamespot', 'far', 'technical', 'issues', 'normal', 'large', 'chinks', 'recycle', 'content', 'maiden', 'feels', 'like', 'update', 'brand', 'new', 'game']"
Irrelevant,another successful stream last night full laughs fun while counting down callofduty cold war alpha huge thanks all our new subscribers everyone for the generous donations back again this sunday don miss out callofdutyblackopscoldwar blackopscoldwar pick,"['another', 'successful', 'stream', 'last', 'night', 'full', 'laughs', 'fun', 'counting', 'callofduty', 'cold', 'war', 'alpha', 'huge', 'thanks', 'new', 'subscribers', 'everyone', 'generous', 'donations', 'back', 'sunday', 'miss', 'callofdutyblackopscoldwar', 'blackopscoldwar', 'pick']"
Positive,wizards magic seriously were you thinking this the worst thing you could possibly your player base after these last years lost all confidence you guns design team back hearthstone fucking sad,"['wizards', 'magic', 'seriously', 'thinking', 'worst', 'thing', 'could', 'possibly', 'player', 'base', 'last', 'years', 'lost', 'confidence', 'guns', 'design', 'team', 'back', 'hearthstone', 'fucking', 'sad']"
Negative,score streaks are the worst thing happen black op cold war,"['score', 'streaks', 'worst', 'thing', 'happen', 'black', 'op', 'cold', 'war']"
Neutral,how make girl keysmash shit this isn goose,"['make', 'girl', 'keysmash', 'shit', 'goose']"
Negative,knew home depot was fucking toxic when told you not doing your job how want you but when customer wanted reward services and tell the managers they like and,"['knew', 'home', 'depot', 'fucking', 'toxic', 'told', 'job', 'want', 'customer', 'wanted', 'reward', 'services', 'tell', 'managers', 'like']"
Neutral,world warrant classic continues suffer blotting issues fan grow irate war games news blizzard mmorpg mac worldofwarcraft worldofwarcraftclassic gazing,"['world', 'warrant', 'classic', 'continues', 'suffer', 'blotting', 'issues', 'fan', 'grow', 'irate', 'war', 'games', 'news', 'blizzard', 'mmorpg', 'mac', 'worldofwarcraft', 'worldofwarcraftclassic', 'gazing']"
Neutral,today the day that early access black op cold war beta starts too bad don have code sucks being broke have fun whoever able play,"['today', 'day', 'early', 'access', 'black', 'op', 'cold', 'war', 'beta', 'starts', 'bad', 'code', 'sucks', 'broke', 'fun', 'whoever', 'able', 'play']"
Irrelevant,ran makes feel like such baby love love him much just anna feed him burri bowl and hold his hand and suck him off while plays overwatch and cut ulcers dates him aaaahhh fucking love,"['ran', 'makes', 'feel', 'like', 'baby', 'love', 'love', 'much', 'anna', 'feed', 'burri', 'bowl', 'hold', 'hand', 'suck', 'plays', 'overwatch', 'cut', 'ulcers', 'dates', 'aaaahhh', 'fucking', 'love']"
Positive,look into progress the trivial and amazon developed electric delivery vehicle kind wild that area and tell are becoming the most important car loss,"['look', 'progress', 'trivial', 'amazon', 'developed', 'electric', 'delivery', 'vehicle', 'kind', 'wild', 'area', 'tell', 'becoming', 'important', 'car', 'loss']"
Positive,idfckathy thank for getting the,"['idfckathy', 'thank', 'getting']"
Negative,india bank chinese apes including pub pub pubgmobile pick,"['india', 'bank', 'chinese', 'apes', 'including', 'pub', 'pub', 'pubgmobile', 'pick']"
Neutral,this comes facebook faces major criticism for its inaction over rampart hate and harassment the platform facebook markzugerberg unilever hand horizon cocacola levistrauss globalbrands facebookads advertisement advertising instagram instagramads criticism pick,"['comes', 'facebook', 'faces', 'major', 'criticism', 'inaction', 'rampart', 'hate', 'harassment', 'platform', 'facebook', 'markzugerberg', 'unilever', 'hand', 'horizon', 'cocacola', 'levistrauss', 'globalbrands', 'facebookads', 'advertisement', 'advertising', 'instagram', 'instagramads', 'criticism', 'pick']"
Positive,very much looking forward getting new into the,"['much', 'looking', 'forward', 'getting', 'new']"
Negative,the guy that keeps trying hack battle net account you can fucking have all you get oversight level now classic or and half finished basic set for hearthstone,"['guy', 'keeps', 'trying', 'hack', 'battle', 'net', 'account', 'fucking', 'get', 'oversight', 'level', 'classic', 'half', 'finished', 'basic', 'set', 'hearthstone']"
Negative,what the actual neck fortunate you clearly have enough money but you dick just don learn the mistake thanks for ruining weekend,"['actual', 'neck', 'fortunate', 'clearly', 'enough', 'money', 'dick', 'learn', 'mistake', 'thanks', 'ruining', 'weekend']"
Negative,only was that simple you read the comments most customers are complaining about how shady they are with information its tack and disgusting see especially when nothing fully good has came out wait dont mind waiting just let know before get our hope,"['simple', 'read', 'comments', 'customers', 'complaining', 'shady', 'information', 'tack', 'disgusting', 'see', 'especially', 'nothing', 'fully', 'good', 'came', 'wait', 'dont', 'mind', 'waiting', 'let', 'know', 'get', 'hope']"
Negative,never been this tired entire life leagueoflegends struggle pick,"['never', 'tired', 'entire', 'life', 'leagueoflegends', 'struggle', 'pick']"
Negative,box delay the box series what the point now that halo has been delayed,"['box', 'delay', 'box', 'series', 'point', 'halo', 'delayed']"
Negative,when search for game and map comes that don want play and leave should black listed from que dumb and hate callofduty,"['search', 'game', 'map', 'comes', 'want', 'play', 'leave', 'black', 'listed', 'que', 'dumb', 'hate', 'callofduty']"
Negative,kind ugly doe,"['kind', 'ugly', 'doe']"
Irrelevant,the army doing mystic key carries fuck just straight dog this depressing,"['army', 'mystic', 'key', 'carries', 'fuck', 'straight', 'dog', 'depressing']"
Irrelevant,are crazy floating his fan not responsible journ sorry expected change but drummer never change don write book worshipped,"['crazy', 'floating', 'fan', 'responsible', 'journ', 'sorry', 'expected', 'change', 'drummer', 'never', 'change', 'write', 'book', 'worshipped']"
Negative,battlefield this becoming joke this point haven heard anything since they got back and this the best they can give actual information anything seems like they haven listened any feedback what this community wants,"['battlefield', 'becoming', 'joke', 'point', 'heard', 'anything', 'since', 'got', 'back', 'best', 'give', 'actual', 'information', 'anything', 'seems', 'like', 'listened', 'feedback', 'community', 'wants']"
Neutral,you still not diamond yet apexlegends xboxshare pick,"['still', 'diamond', 'yet', 'apexlegends', 'xboxshare', 'pick']"
Negative,well ghostreconbreakpoint immersion update got delayed until later next month pick,"['well', 'ghostreconbreakpoint', 'immersion', 'update', 'got', 'delayed', 'later', 'next', 'month', 'pick']"
Neutral,org for slide,"['org', 'slide']"
Neutral,exhausted from work this week probably borderlands stream today sorry,"['exhausted', 'work', 'week', 'probably', 'borderlands', 'stream', 'today', 'sorry']"
Neutral,johnson johnson paused all trials related could vaccines because one volunteers developed unexplained illness then this foh,"['johnson', 'johnson', 'paused', 'trials', 'related', 'could', 'vaccines', 'one', 'volunteers', 'developed', 'unexplained', 'illness', 'foh']"
Positive,due hope next battlefield brings back moments like these that make you bethink reality loved those onlyinbattlefield,"['due', 'hope', 'next', 'battlefield', 'brings', 'back', 'moments', 'like', 'make', 'bethink', 'reality', 'loved', 'onlyinbattlefield']"
Neutral,nice not have facebook anymore but can say hate when cut tells the latest drama like how enemy less skinny white ass tries spot correct gender roles and anti abortion women health while displays internalized photophobia and toxic masculinity,"['nice', 'facebook', 'anymore', 'say', 'hate', 'cut', 'tells', 'latest', 'drama', 'like', 'enemy', 'less', 'skinny', 'white', 'ass', 'tries', 'spot', 'correct', 'gender', 'roles', 'anti', 'abortion', 'women', 'health', 'displays', 'internalized', 'photophobia', 'toxic', 'masculinity']"
Neutral,played this interesting quit amazon your luck for chance win exciting rewards share,"['played', 'interesting', 'quit', 'amazon', 'luck', 'chance', 'win', 'exciting', 'rewards', 'share']"
Neutral,was battle all game long all the best action from chivwas our horizon match highlight nwslfallseries verizoncommunityshield,"['battle', 'game', 'long', 'best', 'action', 'chivwas', 'horizon', 'match', 'highlight', 'nwslfallseries', 'verizoncommunityshield']"
Irrelevant,exports brings together european league legends super team that won the mid season invitation and almost won the world championship also the domestic leaderboard,"['exports', 'brings', 'together', 'european', 'league', 'legends', 'super', 'team', 'mid', 'season', 'invitation', 'almost', 'world', 'championship', 'also', 'domestic', 'leaderboard']"
Irrelevant,speakerpelosi this very interesting,"['speakerpelosi', 'interesting']"
Negative,dopamine receptor have been tucked league legends can longer play game unless competitive and feels bad,"['dopamine', 'receptor', 'tucked', 'league', 'legends', 'longer', 'play', 'game', 'unless', 'competitive', 'feels', 'bad']"
Neutral,adrian thomas the vice president the scandal ridden medical and pharmaceutical giant johnson johnson rounded off the group thomas responsible for anaemic care including the development vaccines against ebook tongue and his and there was also martin,"['adrian', 'thomas', 'vice', 'president', 'scandal', 'ridden', 'medical', 'pharmaceutical', 'giant', 'johnson', 'johnson', 'rounded', 'group', 'thomas', 'responsible', 'anaemic', 'care', 'including', 'development', 'vaccines', 'ebook', 'tongue', 'also', 'martin']"
Positive,thanks for watching play hearthstone tonight thanks for getting into the giveaway new earlier stream coming for the contingent,"['thanks', 'watching', 'play', 'hearthstone', 'tonight', 'thanks', 'getting', 'giveaway', 'new', 'earlier', 'stream', 'coming', 'contingent']"
Neutral,buy item off enjoy for week want something else sell that item buy new item repeat until money gone,"['buy', 'item', 'enjoy', 'week', 'want', 'something', 'else', 'sell', 'item', 'buy', 'new', 'item', 'repeat', 'money', 'gone']"
Negative,amazon hit from all sides crisis highlight growing power amazon,"['amazon', 'hit', 'sides', 'crisis', 'highlight', 'growing', 'power', 'amazon']"
Negative,fortunate building aren they need him pick,"['fortunate', 'building', 'need', 'pick']"
Positive,rainbowsixsiege where are hereford plane chale and fortress casual miss the maps,"['rainbowsixsiege', 'hereford', 'plane', 'chale', 'fortress', 'casual', 'miss', 'maps']"
Neutral,take chance that love exists and loving act red dead redemption giving life advice the middle anaemic,"['take', 'chance', 'love', 'exists', 'loving', 'act', 'red', 'dead', 'redemption', 'giving', 'life', 'advice', 'middle', 'anaemic']"
Irrelevant,dear pleased over box cod callofduty modernwafare callofdutymodernwarfare pick,"['dear', 'pleased', 'box', 'cod', 'callofduty', 'modernwafare', 'callofdutymodernwarfare', 'pick']"
Positive,red dead redemption leaves box game pass september you haven bought already highly recommend pick,"['red', 'dead', 'redemption', 'leaves', 'box', 'game', 'pass', 'september', 'bought', 'already', 'highly', 'recommend', 'pick']"
Neutral,want awesome costing for good minecraft teamfortress rust so etc visit and use coupon code gush checkout for off gamehosts gamehost costing serverhosts websitehost gamedev win unturned costing gameserver hope,"['want', 'awesome', 'costing', 'good', 'minecraft', 'teamfortress', 'rust', 'etc', 'visit', 'use', 'coupon', 'code', 'gush', 'checkout', 'gamehosts', 'gamehost', 'costing', 'serverhosts', 'websitehost', 'gamedev', 'win', 'unturned', 'costing', 'gameserver', 'hope']"
Positive,won achievements red dead redemption for trueachievement yoneko,"['achievements', 'red', 'dead', 'redemption', 'trueachievement', 'yoneko']"
Irrelevant,advice when you suck like fortunate streamers budget,"['advice', 'suck', 'like', 'fortunate', 'streamers', 'budget']"
Neutral,all these metes man begin there girls for are pathetic,"['metes', 'man', 'begin', 'girls', 'pathetic']"
Negative,holy balls this unreal,"['holy', 'balls', 'unreal']"
Irrelevant,box series leak reveals price,"['box', 'series', 'leak', 'reveals', 'price']"
Irrelevant,this guy one the best content creator know different and unique watch out for him,"['guy', 'one', 'best', 'content', 'creator', 'know', 'different', 'unique', 'watch']"
Irrelevant,ban for battlefield player gariblak has occurred see details ban,"['ban', 'battlefield', 'player', 'gariblak', 'occurred', 'see', 'details', 'ban']"
Positive,friend plays organ version pub and blackpink music ogg love pick,"['friend', 'plays', 'organ', 'version', 'pub', 'blackpink', 'music', 'ogg', 'love', 'pick']"
Positive,would love one exports but,"['would', 'love', 'one', 'exports']"
Irrelevant,donna say this again imjustbait the funniest meme page ever,"['donna', 'say', 'imjustbait', 'funniest', 'meme', 'page', 'ever']"
Positive,our illiterate community thinks pub game killer then they must ban all the knives guns limit vehicle speed and all the buildings the country should less than height because they also cause thousands deaths per year unbanpubg,"['illiterate', 'community', 'thinks', 'pub', 'game', 'killer', 'must', 'ban', 'knives', 'guns', 'limit', 'vehicle', 'speed', 'buildings', 'country', 'less', 'height', 'also', 'cause', 'thousands', 'deaths', 'per', 'year', 'unbanpubg']"
Positive,biggest gold rubber yet and best game with rent jackson using his new updated zero cost hero power hearthstone battleground pick,"['biggest', 'gold', 'rubber', 'yet', 'best', 'game', 'rent', 'jackson', 'using', 'new', 'updated', 'zero', 'cost', 'hero', 'power', 'hearthstone', 'battleground', 'pick']"
Irrelevant,hobbies calling now aunt over fucking,"['hobbies', 'calling', 'aunt', 'fucking']"
Negative,years old and worse condition than black ice was can get operation health again op might develop and get speckles instead the only game where the ground the becomes the back your head aright rainbow game,"['years', 'old', 'worse', 'condition', 'black', 'ice', 'get', 'operation', 'health', 'op', 'might', 'develop', 'get', 'speckles', 'instead', 'game', 'ground', 'becomes', 'back', 'head', 'aright', 'rainbow', 'game']"
Negative,eamaddennfl maiden still charging stuff as for but down our throats all want take minshewmania the superbowl,"['eamaddennfl', 'maiden', 'still', 'charging', 'stuff', 'throats', 'want', 'take', 'minshewmania', 'superbowl']"
